Supernova,M_abs,M_aparente,Distancia (en Mpc),Galaxia,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
SN2013dy,-18.191,12.99,17.22661707,NGC 7250,17.22436,16.79095,16.45698,16.82489,16.55958
SN2000cx,-18.97,13.23,27.54228703,NGC 524,17.48722,15.66035,14.78270,14.28001,14.06536
SN2016bln,-19.778,15.3,103.6573257,NGC  5221,19.44486,17.33265,16.41151,15.86312,15.30926
SN2902bo,-18.65,13.1,22.38721139,NGC 3190,17.17737,15.20682,14.50861,14.04816,13.71112
SN1999T,-19.57,10.93,12.58925412,NGC 4527,18.10988,16.21017,14.99926,14.41994,13.83658
SN1994D,-18.98,11.3,11.37627286,NGC 4526,16.86832,14.61438,14.12896,14.26776,13.19113
ASASSN-14lp,-19.841,11.93,22.60476518,NGC 4666,18.47367,16.48576,15.61881,15.07166,14.55341
SN1999by,-17.75,12.83,13.06170888,NGC 2841,16.75331,14.64336,13.97234,13.61720,13.21642
SN2001V,-20.1,13.7,57.54399373,NGC 3987,21.22965,19.13211,18.16586,17.71418,17.10854
SN2007Ie,-17.899,13.511,19.14255925,NGC 7721,19.15293,17.62634,16.54667,16.10780,15.94841
SN2005M,-18.965,15.945,95.94006315,NGC 2930,19.17817,18.64542,18.58388,18.61504,18.23291
SN2007S,-18.419,15.361,57.01642723,UGC 5378,19.92319,18.37733,18.02295,17.39155,17.14233
SN2004ef,-18.607,16.743,117.4897555,UGC 12158,19.44548,17.65648,16.77809,16.55334,16.14931
SN2009ig,-19.6,13,33.11311215,NGC 1015,17.97589,16.31760,15.54345,15.22908,14.90698
SN2002fk,-20.1,12.45,32.35936569,NGC 1309,17.97783,16.61411,16.22741,15.83121,15.74966
SN1994ae,-20.11,12,26.42408757,NGC 3370,18.65803,17.42348,16.87658,16.58189,16.13733
SN1990N,-19.03,12.44,19.6788629,NGC 4639,17.92756,16.22787,15.42512,15.25295,14.70597
SN1981B,-18.72,11.73,12.30268771,NGC 4536,18.51749,19.17517,18.45862,19.04277,18.36563
SN1998de,-17.45,16.62,65.16283941,NGC 252,18.16060,16.33771,15.48377,15.00497,14.67673
SN2007hj,-18.286,15.7,62.69024975,NGC 7461,18.45314,16.63930,15.89483,15.55000,15.09553
SN1999dq,-18.23,15.1,46.34469197,NGC 976,18.39053,16.56029,15.76122,15.38910,15.00235
SN2007nq,-18.867,17.6,196.5169431,UGC 595,20.26765,18.23959,17.28754,16.92480,16.70159
SN1995D,-20,12.7,34.67368505,NGC 2962,17.97765,16.05683,14.96603,14.49917,14.36074
SN2006ej,-18.289,16.471,89.53647655,NGC 191,18.59983,16.70276,15.66543,15.26209,14.92583
SN2001ep,-18.73,15,55.71857489,NGC 1699,18.95365,17.46556,16.72062,16.49270,16.19545
SN2007ax,-15.75,16.79,32.21068791,NGC 2577,18.03874,16.79095,16.77809,19.04277,15.00235
SN1998dh,-15.93,16.5,30.61963434,     NGC 7541,20.12488,18.48854,17.48126,16.87470,16.19513
SN2009an,-18.661,14.4,40.94491746,     NGC 4332,18.35137,16.50905,15.59841,15.15758,14.71303
SN1971I,-18.3,11.6,9.54992586,NGC 5055,11.38203,14.44525,13.49682,14.50191,12.75898
SN2005A,-17.517,16.833,74.13102413,     NGC 958,13.09095,13.517,24.35919,29.48890,12.15292
SN2003gs,-16.317,15.103,19.23091729,    NGC 936,16.53765,14.76275,13.90200,13.4409,13.41844
SN2001en,-19,15,63.09573445,     NGC 523,20.75838,18.73831,17.58614,16.95568,17.24726
SN2008ec,-17.002,17.3,72.51034976,NGC 7469,14.44292,14.24428,13.89464,13.944,13.67404
 SN2001bg,-18.1,13.5,20.89296131,    NGC 2608,17.83189,16.60402,15.87404,15.52267,15.21487
SN1998es,-18.26,14.6,37.32501578,NGC 632,16.83347,15.9479,15.53541,15.37871,15.01758
SN1960F,-19.24,11.42,13.55189412,NGC 4496A,20.45795,19.54633,19.20043,18.99546,18.79086
SN2009al,-18.06,16.9,98.1747943, NGC 3425,18.31653,16.45941,15.54915,15.25438,15.01797
SN2002cd,-17.04,16.4,48.75284901,  NGC 6916,19.61227,18.06453,17.22189,16.55856,15.89267
SN2004bg,-20,14.9,95.4992586,UGC 6363,24.23700,24.31663,22.39098,21.87114,21.94484
SN2002de,-19.5,16,125.8925412,NGC 6104,22.00690,22.57403,24.80182,24.36206,22.82690
SN1984A,-19.64,12.46,26.30267992,NGC 4419,17.85011,15.93581,15.00587,14.51707,14.03223
SN2007ba,-17.38,18.3,136.7728826,UGC 9798,19.58664,17.59952,16.89741,16.43267,15.90799
SN2007bm,-17.335,14.395,22.1819642,NGC 3672,19.02170,17.61563,16.7828,16.54834,15.88346
 SN2007bd,-18.02,17.6,133.0454418,UGC 4455,19.86672,18.01457,17.11382,16.60992,16.24261
SN2016eoa,-19.64,15.2,92.89663868,NGC 0083,18.77354,16.87393,16.07199,15.59561,15.14317
SN2018eqq,-20.647,13.613,71.12135137,     UGC 2536,18.33000,16.64567,15.92779,15.57382,15.64370
SN2005kc,-17.782,15.868,53.70317964,NGC 7311,17.97598,16.10383,15.19214,14.83938,14.29836
SN1995al,-18.8,13.4,27.54228703,NGC 3021,17.92476,16.1816,15.59049,15.29117,14.86082
SN1999da,-15.03,18.6,53.21082593, NGC 6411,18.13284,16.26974,15.70944,15.14485,14.66325
SN2007fb,-17.94,15.8,55.97576015,UGC 12859,20.67608,18.95289,19.3475,17.71717,17.46021
