"Name","mmax","Host Name","R.A.","Dec.","dL (Mpc)","Type","Phot."
"SN2011fe","9.48","NGC 5457","14:03:05.711,14:03:05.76,14:03:05.81,14:03:05.810,14:03:05.80","+54:16:25.22,+54:16:25.32,+54:16:25.4,+54:16:25.39,+54:16:25.3","3.56","Ia","3123"
"SN2012fr","11.74","NGC 1365","03:33:35.99,03:33:35.990,03:33:36.288","-36:07:37.7,-36:07:37.70,-36:07:35.04","24","Ia","1787"
"SN2013dy","12.8","NGC 7250","22:18:17.60,22:18:17.599","+40:34:09.6,+40:34:09.59","17.263","Ia","1649"
"SN2012dn","13.67","ESO 462-G16","20:23:36.26,20:23:36.259","-28:16:43.4,-28:16:43.39","45.4355","Ia","1315"
"SN1999ee","14.5","IC 5179","22:16:09.40,22:16:10.00,22:16:10.001","-36:50:31.5,-36:50:39.7,-36:50:39.70","41","Ia","1296"
"SN2000cx","12.9","NGC 524","01:24:46.19,01:24:46.15,01:24:46.150","+09:30:31.3,+09:30:30.9,+09:30:30.89","28","Ia Pec","1252"
"SN2014J","8.98","NGC 3034","09:55:42.12,09:55:42.139,09:55:42.14","+69:40:25.9,+69:40:26.00,+69:40:26.0","2.998","Ia","1221"
"SN2005cf","13.32","MCG -01-39-03","15:21:33.12,15:21:33.36,15:21:32.21,15:21:32.210","-07:26:57.1,-07:26:55.464,-07:24:47.5,-07:24:47.48","25","Ia","1136"
"SN1998bu","11.44","NGC 3368","10:46:46.01,10:46:46.030,10:46:46.03","+11:50:07.5,+11:50:07.12,+11:50:07.15","9.9","Ia","1058"
"SN2007af","13.05","NGC 5584","14:22:21.03,14:22:21.12,14:22:21.060","-00:23:37.6,-00:23:37.68,-00:23:37.60,-00:23:37.72","19","Ia","978"
"SN2015F","13.1","NGC 2442","07:36:15.76,07:36:15.761","-69:30:23.0,-69:30:23.00","24.04","Ia","852"
"SN2016bln","15.3","NGC 5221","13:34:45.492,13:34:45.49","+13:51:14.30,+13:51:14.3,+13:51:14.0","104.851","Ia-91T","848"
"SN2009dc","14.53","UGC 10064","15:51:12.12,15:51:12.083,15:51:12,15:51:12.24,15:51:12.120,15:51:12.10","+25:42:28.0,+25:42:28.43,+25:42:28.44,+25:42:28.08,+25:42:28.01,+25:42:28.5","97.076","Ia Pec","798"
"SN2016dxj","15.77","","16:40:16.200,16:40:16.20,16:40:16.08","+22:46:58.30,+22:46:58.3,+22:46:58.44","445","Ia","795"
"SN2004eo","15.14","NGC 6928","20:32:54.19,20:32:54.24,20:32:54.190","+09:55:42.7,+09:55:42.71","54","Ia","776"
"SN2002bo","13.1","NGC 3190","10:18:06.51,10:18:06.511,10:18:06.52","+21:49:41.7,+21:49:41.70,+21:49:41.2","22.4","Ia","773"
"SN2018bac","17.04","","10:42:42.150,10:42:42.160,10:42:42.24,10:42:42.14","+25:59:41.24,+25:59:41.16,+25:59:41.28,+25:59:41.0,+25:59:42","169.3","Ia","740"
"SN1991T","10.93","NGC 4527","12:34:10.20,12:34:10.08,12:34:10.17,12:34:10.210,12:34:10.21","+02:39:56.4,+02:39:56.52,+02:39:56.35,+02:39:56.59,+02:39:56.6,+02:39:56.3","12.6","Ia-91T","727"
"SN2012ht","12.91","NGC 3447","10:53:22.75,10:53:22.750","+16:46:34.9,+16:46:34.90","15.794","Ia","695"
"SN2005ke","13.92","NGC 1371","03:35:04.35,03:35:04.344,03:35:4.34,03:35:04.351","-24:56:38.8,-24:56:38.76,-24:56:38.80","27","Ia Pec","689"
"SN2006X","12.53","NGC 4321","12:22:53.93,12:22:54,12:22:54.00,12:22:53.99,12:22:53.990,12:22:53.92","+15:48:32.0,+15:48:32.04,+15:48:33.12,+15:48:33.1,+15:48:33.08,+15:48:31.2","16","Ia","689"
"SN2008hv","14.26","NGC 2765","09:07:34.06,09:07:34.066,09:07:34.08,09:07:34.061","+03:23:32.1,+03:23:32.18,+03:23:32.64,+03:23:32.10","60.7285","Ia","633"
"SN2003du","13.06","UGC 9391","14:34:35.80,14:34:35.76,14:34:35.801,14:34:35.808","+59:20:03.8,+59:20:03.84,+59:20:03.80,+59:20:03.89","33","Ia","628"
"SN2001el","12.4","NGC 1448","03:44:30.60,03:44:30.57,03:44:30.571","-44:38:23.4,-44:38:23.7,-44:38:23.71","15","Ia","618"
"SN1994D","10.96","NGC 4526","12:34:02.395,12:34:02.37,12:34:02.450,12:34:02.45","+07:42:05.70,+07:42:04.7,+07:42:04.72","11.4","Ia","590"
"ASASSN-14lp","11.93","NGC 4666","12:45:09.10,12:45:09.12","-00:27:32.4,-00:27:32.5,-00:27:32.49","22.663","Ia","589"
"LSQ12gdj","15.02","ESO 472-G007","23:54:43.32","-25:40:34.0,-25:40:34.09,-25:40:34.1","140","Ia","587"
"SN2013aa","11.28","NGC 5643","14:32:33.88,14:32:33.881","-44:13:27.8,-44:13:27.80","17.752","Ia","583"
"SN2019kg","16.87","VIII Zw 246","11:42:45.750,11:42:45.84","+21:42:53.46,+21:42:53.50,+21:42:53.28,+21:42:53.64","374.717","Ia","580"
"SN1999by","12.83","NGC 2841","09:21:52.07,09:21:52.18,09:21:52.070","+51:00:06.6,+51:00:07.2,+51:00:06.59","13.1","Ia Pec","573"
"SN2005el","14.99","NGC 1819","05:11:48.76,05:11:48.768,05:11:48.72,05:11:48.720","+05:11:39.0,+05:11:39.012,+05:11:39.41,+05:11:39.4","56","Ia","552"
"SN2017ckc","18.3","SDSS J142836.23+164104.6","14:28:36.170,14:28:36.1728,14:28:36.24","+16:41:04.42,+16:41:04.4268,+16:41:04.56","249","Ia","550"
"iPTF13ebh","14.96","","02:21:59.98,02:21:59.976","+33:16:13.7,+33:16:13.8","","Ia","540"
"SN2001V","13.7","NGC 3987","11:57:24.93,11:57:24.929","+25:12:09.0,+25:12:09.00","59","Ia","524"
"SN2003cg","13.43","NGC 3169","10:14:15.97,10:14:16.00,10:14:15.970,10:14:16.008","+03:28:02.5,+03:28:01.7,+03:28:02.50,+03:28:01.79","22","Ia","516"
"SN2019yb","17.89","","11:00:37.879,11:00:37.869,11:00:37.87,11:00:37.92","+30:30:45.37,+30:30:45.27,+30:30:45.3,+30:30:45.36","253","Ia","511"
"SN2013gh","13.75","NGC 7183","22:02:21.84,22:02:21.840,22:02:21.85","-18:55:00.4,-18:55:00.41,-18:55:00.8","39.2","Ia","504"
"SN2007le","13.51","NGC 7721","23:38:48.45,23:38:48.452,23:38:48.48,23:38:48.41,23:38:48.410","-06:31:21.7,-06:31:21.83,-06:31:21.684,-06:31:21.29,-06:31:21.3","19","Ia","503"
"SN2005hc","17.24","MCG +00-06-03","01:56:47.976,01:56:47.9,01:56:47.952,01:56:47.928,01:56:47.95,01:56:47.94,01:56:47.940","-00:12:48.62,-00:12:49,-00:12:49.392,-00:12:49.6332,-00:12:49.40,-00:12:49.2,-00:12:49.21","201","Ia","498"
"SN1972E","7.77","NGC 5253","13:39:52.7,00:00:00.000,13:39:53.2,13:39:52.70","-31:40:09,-31:40:15.0,-31:40:09.0","2.7","Ia","490"
